ask,bid,change,contract_name,expiration,implied_volatility,last_trade,open_interest,option_type,perc_change,strike,volume
27.30,22.35,27.60,MSFT201016P00230000,"October 16, 2020",45,2020-08-07 9:33AM EDT,1,put,0.00,230.00,-
51.90,56.40,52.95,MSFT200918C00155000,"September 18, 2020","4,478",2020-08-07 2:19PM EDT,1,call,0.00,155.00,-
47.25,48.55,47.85,MSFT200918C00160000,"September 18, 2020","3,713",2020-08-10 10:32AM EDT,7,call,-6.14,160.00,-11.23%
42.25,43.75,43.20,MSFT200918C00165000,"September 18, 2020","6,091",2020-08-10 10:40AM EDT,20,call,-5.56,165.00,-11.28%
37.65,38.00,38.50,MSFT200918C00170000,"September 18, 2020","6,313",2020-08-10 11:47AM EDT,35,call,-4.97,170.00,-11.57%
33.00,34.36,33.55,MSFT200918C00175000,"September 18, 2020","3,936",2020-08-07 3:26PM EDT,2,call,-3.56,175.00,-9.39%
28.60,28.65,28.80,MSFT200918C00180000,"September 18, 2020","8,769",2020-08-10 11:47AM EDT,44,call,-3.95,180.00,-12.12%
24.30,24.85,24.50,MSFT200918C00185000,"September 18, 2020","5,412",2020-08-10 11:26AM EDT,24,call,-4.35,185.00,-14.90%
20.25,20.95,20.55,MSFT200918C00190000,"September 18, 2020","9,636",2020-08-10 11:31AM EDT,"1,252",call,-3.85,190.00,-15.52%
16.50,16.69,16.75,MSFT200918C00195000,"September 18, 2020","5,299",2020-08-10 11:45AM EDT,158,call,-3.97,195.00,-19.22%
37.40,38.15,38.20,MSFT200911C00170000,"September 11, 2020",6,2020-08-10 11:26AM EDT,8,call,-6.50,170.00,-14.56%
0.81,0.80,0.98,MSFT210115P00115000,"January 15, 2021","7,482",2020-08-07 1:05PM EDT,11,put,0.00,115.00,-
1.01,1.06,1.15,MSFT210115P00120000,"January 15, 2021","13,489",2020-08-10 10:17AM EDT,1,put,+0.08,120.00,+8.16%
1.28,1.35,1.46,MSFT210115P00125000,"January 15, 2021","13,147",2020-08-07 1:16PM EDT,10,put,+0.18,125.00,+15.38%
1.65,1.69,1.74,MSFT210115P00130000,"January 15, 2021","12,605",2020-08-07 1:50PM EDT,1,put,+0.18,130.00,+11.92%
1.99,1.71,2.12,MSFT210115P00135000,"January 15, 2021","8,172",2020-08-06 12:10PM EDT,29,put,0.00,135.00,-
